unit,rmse,mse,r2,n_test,d,alpha,train_frac
240,8.335236730334903e-10,6.947617135072409e-19,0.0,137,160,10.0,0.7
241,1.4290639216717694e-09,2.0422236922238968e-18,0.0,191,160,10.0,0.7
242,1.428736029752453e-09,2.0412866427128026e-18,0.0,316,160,10.0,0.7
243,8.730219258082943e-10,7.621672829420228e-19,0.0,238,160,10.0,0.7
244,8.360256291740946e-10,6.9893885263594085e-19,0.0,316,160,10.0,0.7
245,2.210202956733886e-10,4.8849971099552126e-20,0.0,200,160,10.0,0.7
246,9.448307237679068e-11,8.927050965757866e-21,0.0,137,160,10.0,0.7
247,4.611804046059228e-09,2.1268736559248267e-17,0.0,191,160,10.0,0.7
248,2.2551355803984813e-09,5.085636485979195e-18,0.0,316,160,10.0,0.7
249,3.1060718114668015e-05,9.64768209798866e-10,-626.1990302269062,238,160,10.0,0.7
250,2.0465871788459604e-08,4.188519080616667e-16,-6.33582268673306,316,160,10.0,0.7
251,6.865857223037627e-10,4.713999540713795e-19,0.0,200,160,10.0,0.7
252,6.330778013006716e-10,4.0078750249969265e-19,0.0,137,160,10.0,0.7
253,3.2767581584018526e-09,1.0737144028653101e-17,0.0,191,160,10.0,0.7
254,2.738779823354205e-09,7.50091492081209e-18,0.0,316,160,10.0,0.7
255,3.7232824918729014e-10,1.3862832514287283e-19,0.0,238,160,10.0,0.7
256,1.0147143202093928e-09,1.02964515163801e-18,0.0,200,160,10.0,0.7
257,1.2714497625218414e-09,1.616584498616847e-18,0.0,137,160,10.0,0.7
258,1.1372146448950415e-09,1.2932571485637552e-18,0.0,191,160,10.0,0.7
259,1.0387396186799918e-09,1.0789799954154549e-18,0.0,238,160,10.0,0.7
260,1.5447675884150951e-09,2.3863069022177886e-18,0.0,200,160,10.0,0.7
261,1.719175909724507e-09,2.955565808577086e-18,0.0,137,160,10.0,0.7
262,1.0311600836688096e-09,1.0632911181518666e-18,0.0,191,160,10.0,0.7
263,2.4543182040008858e-09,6.023677846490133e-18,0.0,316,160,10.0,0.7
264,1.518131365656216e-09,2.3047228433892076e-18,0.0,238,160,10.0,0.7
265,9.78532563197248e-10,9.575259772373763e-19,0.0,200,160,10.0,0.7
266,2.100257863544869e-09,4.411083093382059e-18,0.0,137,160,10.0,0.7
267,8.296044477448421e-10,6.882435397180243e-19,0.0,191,160,10.0,0.7
268,2.3250909220676854e-09,5.406047795881559e-18,0.0,316,160,10.0,0.7
269,7.443034808222745e-10,5.53987671564154e-19,0.0,238,160,10.0,0.7
270,2.2518792879177587e-09,5.070960327352992e-18,0.0,316,160,10.0,0.7
271,8.570750796064404e-10,7.345776920823861e-19,0.0,200,160,10.0,0.7
272,3.5263341857585993e-10,1.2435032789649763e-19,0.0,137,160,10.0,0.7
273,1.6602416256423352e-10,2.756402255515504e-20,0.0,191,160,10.0,0.7
274,2.5694153171298014e-10,6.601895071901238e-20,0.0,316,160,10.0,0.7
275,2.0923220511238576e-10,4.377811565619147e-20,0.0,238,160,10.0,0.7
276,1.8331458225359988e-10,3.360423606681184e-20,0.0,200,160,10.0,0.7
277,2.4847378937283466e-10,6.17392240052958e-20,0.0,137,160,10.0,0.7
278,7.527494190242844e-10,5.666316878413977e-19,0.0,191,160,10.0,0.7
279,6.425966180124524e-10,4.1293041348104165e-19,0.0,316,160,10.0,0.7
280,2.1741657729422684e-10,4.726996808233652e-20,0.0,238,160,10.0,0.7
281,2.5898736009095978e-09,6.707445268688446e-18,0.0,200,160,10.0,0.7
282,5.042985002456149e-09,2.543169773499765e-17,0.0,137,160,10.0,0.7
283,3.0780213939497364e-05,9.474215701612276e-10,-10.876299165704228,191,160,10.0,0.7
284,1.3567743093373481e-09,1.840836526477838e-18,0.0,316,160,10.0,0.7
285,7.065235869850238e-07,4.991755789661845e-13,0.0,238,160,10.0,0.7
286,1.33687214505069e-14,1.7872271322124334e-28,0.0,200,160,10.0,0.7
287,6.811348415621397e-10,4.639446723898812e-19,0.0,200,160,10.0,0.7
288,4.6252885585535606e-10,2.1393294249886475e-19,0.0,137,160,10.0,0.7
289,8.642889068317369e-10,7.469953144723987e-19,0.0,191,160,10.0,0.7
290,3.007129141986708e-09,9.042825676585716e-18,0.0,316,160,10.0,0.7
291,2.706905464704586e-09,7.327337194847553e-18,0.0,238,160,10.0,0.7
292,1.2350847766848566e-09,1.5254344055986819e-18,0.0,200,160,10.0,0.7
293,8.119865411469349e-10,6.593221430037631e-19,0.0,137,160,10.0,0.7
294,5.457685309643115e-08,2.9786328939094265e-15,-36.99096781061847,191,160,10.0,0.7
295,9.682435207254685e-07,9.374955154268508e-13,0.1178561443636339,316,160,10.0,0.7
296,2.2333712277243044e-05,4.987947040826766e-10,0.17186494570977007,238,160,10.0,0.7
297,4.88380278903636e-10,2.3851529682199334e-19,0.0,200,160,10.0,0.7
298,1.5119131902722382e-06,2.285881494919177e-12,0.4133387621461383,137,160,10.0,0.7
299,5.687628979975875e-10,3.2349123413861417e-19,0.0,191,160,10.0,0.7
300,1.6752073257967275e-06,2.806319584403023e-12,-1.7707770980996433,316,160,10.0,0.7
301,4.96018902923689e-06,2.4603475205762002e-11,-0.17934312365139493,238,160,10.0,0.7
